locale|de
HEVLIB_SELF_CHECK_ERROR_MESSAGE|HevLib wurde nicht korrekt installiert. Überprüfe deine Quelle und stelle sicher, dass es wie folgt aussieht: HevLib.zip/HevLib/\n\nMit OK wird das Spiel beendet und du es werden die aktuellsten Releases im Browser geöffnet.

HEVLIB_SELF_CHECK_ERROR_HEADER|HEVLIB LOAD ERROR!

HEVLIB_INCORRECT_SHIP|(ERROR!) Fehlender Schiffs-Typ: '%s'\nDas Save kann nicht geladen werden, da das aktive Schiff nicht verügbar ist!\nUm das Save zu laden, installiere bitte den Mod erneut, der diesen Schiffs-Typ enthält!

HEVLIB_SLOT|Slot

HEVLIB_MOD_MENU|Mod Menü

HEVLIB_MISSING_MOD_NAME|Mod Name nicht verfügbar :(

HEVLIB_MISSING_DESCRIPTION|Dieser Mods hat keine Beschreibung. :( \n\nÜberprüfe die Webseite, wo du den Mod erhalten hast oder frage beim Ersteller nach einer Beschreibung.

HEVLIB_AUTHOR|Ersteller:

HEVLIB_CREDITS|Danksagung:

HEVLIB_UNKNOWN|Unbekannt

HEVLIB_MM_TOOLTIP_HEADER|Mod Information:

HEVLIB_MM_TOOLTIP_ID|Mod ID: %s

HEVLIB_MM_TOOLTIP_MV|Manifest Version: %s

HEVLIB_MM_TOOLTIP_ZIP|Zip File: %s

HEVLIB_MM_TOOLTIP_LIBRARY|Bibliothek: %s \ Immer zeigen: %s

HEVLIB_MM_BUTTON_TOOLTIP_GITHUB|Mod Github Seite

HEVLIB_MM_BUTTON_TOOLTIP_DISCORD|Mod Discord Thread

HEVLIB_MM_BUTTON_TOOLTIP_NEXUS|Nexus Mods Seite

HEVLIB_MM_BUTTON_TOOLTIP_DONATIONS|Spenden ans Projekt

HEVLIB_MM_BUTTON_TOOLTIP_WIKI|Mod Wiki Seite

HEVLIB_MM_BUTTON_TOOLTIP_BUGREPORTS|Einen Fehler melden

HEVLIB_MM_BUTTON_TOOLTIP_CUSTOM|Mehr...

HEVLIB_VANILLA_DESCRIPTION|Eine physikbasierte Bergbau-Simulation, angesiedelt im dichtesten Trümmerfeld des Sonnensystems. Jede Aktion hat eine Reaktion, Laser sind ohne ein Medium unsichtbar, und dein Schub ist eine mächtige Waffe. Finde Handelspartner, passe deine Ausrüstung an deinen Spielstil an und heuere eine Crew zur Unterstützung an. Lüfte die Geheimnisse der Ringe – oder werde einfach nur reich.

HEVLIB_VANILLA_BRIEF|Das Basis Spiel

HEVLIB_MODMENU_MODS|Mods

HEVLIB_MODMENU_OK|Ok

HEVLIB_MODMENU_CLOSE|Schließen

HEVLIB_MODMENU_OPENFOLDER|Öffne Mod-Ordner

HEVLIB_MODMENU_MODS_VISIBLE|Zeige %d Mods

HEVLIB_DROP_FILES_TO_ADD_MODS|Ziehe Dateien per Drag-and-drop in dieses Fenster, um Mods hinzuzufügen.\nMod-Dateien mit identischem Namen werden überschrieben.

HEVLIB_MODMENU_VER_AND_PRIO|Version: v%s / Priorität: %s

HEVLIB_MODMENU_PRIO|Priorität: %s

HEVLIB_MODMENU_VERSION|Version: v%s

HEVLIB_MODMENU_PRIO_MID_HEADER|Mod ID und Priorität

HEVLIB_GITHUB|GitHub

HEVLIB_DISCORD|Discord

HEVLIB_NEXUS|Nexusmods

HEVLIB_DONATIONS|Eine Spende machen

HEVLIB_WIKI|Wiki

HEVLIB_BUGREPORTS|Melde einen Fehler

HEVLIB_GITHUB_TOOLTIP|GitHub repository für das Projekt

HEVLIB_DISCORD_TOOLTIP|Discord thread/channel/server für das Projekt

HEVLIB_NEXUS_TOOLTIP|Nexusmods Seite für das Projekt

HEVLIB_DONATIONS_TOOLTIP|Spende an das Projekt

HEVLIB_WIKI_TOOLTIP|Wiki Seite(n) für das Projekt

HEVLIB_BUGREPORTS_TOOLTIP|Melde Fehler über des Projekt's Melde-Link

HEVLIB_FILTER_BY_TAGS|Filter Mods bei Schlagwort

HEVLIB_SETTINGS_BUTTON_TOOLTIP|Öffne das Einstellungen-Menü

HEVLIB_LINKS_BUTTON|Links

HEVLIB_BUGREPORTS_BUTTON|Fehlermeldungen

HEVLIB_LINKS_TOOLTIP|Links des Projekts zeigen

TAG_ALLOW_ACHIEVEMENTS|Erlaube Errungenschaften

TAG_QOL|Quality of life

TAG_USING_HEVLIB_RESEARCH|Nutzt HevLib Research

TAG_OVERHAUL|

TAG_VISUAL|Visuell

TAG_FUN|Spaß

TAG_UI|User interface (UI)

TAG_ADDS_SHIPS|Fügt neue Schiffe hinzu

TAG_ADDS_EQUIPMENT|Fügt neue Ausrüstung hinzu

TAG_ADDS_GAMEPLAY_MECHANICS|Fügt neue Gamplay-Mechaniken hinzu

TAG_ADDS_EVENTS|Fügt neue Ring-Events hinzu

TAG_HANDLE_EXTRA_CREW|Handhabt extra Besatzung

HEVLIB_TAG_FILTER|Filter Mods durch Schlagwort

HEVLIB_VANILLA_STEAM_STORE|Steam

HEVLIB_VANILLA_STEAM_STORE_TOOLTIP|Öffnet die Steam-Store-Seite für das Spiel

HEVLIB_VANILLA_ITCH_STORE|itch.io

HEVLIB_VANILLA_ITCH_STORE_TOOLTIP|Öffnet die itch.io-Seite für das Spiel

HEVLIB_VANILLA_EPIC_STORE|Epic Games

HEVLIB_VANILLA_EPIC_STORE_TOOLTIP|Öffnet die Epic Games-Seite für das Spiel

HEVLIB_VANILLA_GOG_STORE|GOG

HEVLIB_VANILLA_GOG_STORE_TOOLTIP|Öffnet die GOG-Seite für das Spiel

HEVLIB_CONFIG_SORT_BY_PRICE|Ausrüstung nach Preis sortieren

HEVLIB_CONFIG_SORT_BY_PRICE_TOOLTIP|Zwingt die Ausrüstung nach Preis zu sortieren.	\nDies zerstört zwar die Hilfsenergieeinheit, aber beugt Fehler mit gemoddeter Ausrüstung vor. 

HEVLIB_CONFIG_SORT_SLOT_BY_TYPE|Sortiere Plätze nach Typ

HEVLIB_CONFIG_SORT_SLOT_BY_TYPE_TOOLTIP|Sortiert Plätze nach Typ. Verhindert das willkürliche Versetzen von gemoddeten Plätzen.

HEVLIB_CONFIG_USE_LEGACY_EQUIPMENT_HANDLING|Veraltetes System für Ausrüstung verwenden

HEVLIB_CONFIG_USE_LEGACY_EQUIPMENT_HANDLING_TOOLTIP|Verwendet das Ausrüstungssystem von vor v1.7\nSollte nur für ältere Mods verwendet werden.\nFunktionalität wird nicht garantiert.

HEVLIB_CONFIG_WRITE_EVENTS|Events aufzeichnen

HEVLIB_CONFIG_WRITE_EVENTS_TOOLTIP|Schreibt in eine Datei unter user://cache/.HevLib_Cache/current_events.txt, welche alle Events beinhaltet, die bei Spielstart geladen werden.

HEVLIB_CONFIG_SHOW_HIDDEN_LIBRARIES|Zeige verstecke Bibliotheken

HEVLIB_CONFIG_SHOW_HIDDEN_LIBRARIES_TOOLTIP|Zeigt alle Bibliotheken, welche nicht dauerhaft angezeigt.

HEVLIB_CONFIG_INPUT_DEBUGGER|Input debugger

HEVLIB_CONFIG_INPUT_DEBUGGER_TOOLTIP|Zeigt Debug-Informationen über deine aktuellen Eingaben.

HEVLIB_CONFIG_EVENT_DEBUGGER|Event debugger

HEVLIB_CONFIG_EVENT_DEBUGGER_TOOLTIP|Zeigt Schlüsselereignisse und ob diese in-/aktiv sind.

HEVLIB_CONFIG_POSITION_DATA_DEBUGGER|Position data debugger

HEVLIB_CONFIG_POSITION_DATA_DEBUGGER_TOOLTIP|Zeigt das aktuelle Chaos und die erwartete Anzahl an möglichen Ereignissen währen eines Tauchvorganges

HEVLIB_CONFIG_SHOW_ACCURATE_EVENTS|Zeige genaue Events

HEVLIB_CONFIG_SHOW_ACCURATE_EVENTS_TOOLTIP|Wird im Zusammenhang mit dem Position data debugger verwendet. Zeigt einen Zähler für alle vorhandene Events Im Bereich.\nBasierend darauf, wie wie diese Einstellung funktioniert, wird die Performance stark beeinträchtigt und es werden tausende Zeilen Logs geschrieben.\n\nDIE NUTZUNG WIRD NICHT UNTERSTÜTZT UND INVALIDIERT ALLE FEHLERMELDUNGEN! DU WURDEST GEWARNT!

HEVLIB_CONFIG_OPEN_DEBUG_EVENT_MENU|Debug event Menü

HEVLIB_CONFIG_OPEN_DEBUG_EVENT_MENU_TOOLTIP|Welche Taste öffnet das Event debugger Menü.

HEVLIB_CONFIG_OPEN_DEBUGGER|Debug display umschalten

HEVLIB_CONFIG_OPEN_DEBUGGER_TOOLTIP|Schaltet die Sichtbarkeit der --debug-console Anzeige, welches normalerweise ein Argument benötigt.

HEVLIB_CONFIG_TOGGLE_DEBUG_MENUS|HevLib debugger Menüs

HEVLIB_CONFIG_TOGGLE_DEBUG_MENUS_TOOLTIP|Wenn aktiviert, zeigt es den Input debugger sowie Event debugger

HEVLIB_CONFIG_LINEEDIT_PLACEHOLDER|Text einfügen

HEVLIB_CONFIG_SECTION_EQUIPMENT|Ausrüstung

HEVLIB_CONFIG_SECTION_EVENTS|Events

HEVLIB_CONFIG_SECTION_DRIVERS|Treiber

HEVLIB_CONFIG_SECTION_DEBUG|Debug

HEVLIB_CONFIG_SECTION_INPUT|Tasten

HEVLIB_NOTIFICATIONS|Mod Benachrichtigungen

HEVLIB_UPDATE_COUNT|Neue Updates: %s Mod(s)!

HEVLIB_DEPENDANCY_COUNT|Fehlende Abhängigkeiten: %s Mod(s)!

HEVLIB_CONFLICT_COUNT|%s mod(s) konfligieren!

HEVLIB_UPDATE_INFO_HEADER|Dieser Mod hat ausstehende Updates!

HEVLIB_DEPENDANCY_INFO_HEADER|Diesem Mod fehlen Abhängigkeiten!

HEVLIB_CONFLICT_INFO_HEADER|Dieser Mod steht im Konflikt!

HEVLIB_UPDATE_INFO_BODY|Den Mod von Version [%s] auf Version [%s] upgraden?

HEVLIB_DEPENDANCY_INFO_BODY|Diesem Mod fehlen folgende Abhängigkeiten:\n%s\n\n\n\Erwarte nicht, dass der Mods wie erwartet funktioniert!

HEVLIB_CONFLICT_INFO_BODY|Dieser Mod steht in Konflikt mit anderen Mods. Bitte nutze eine kompatiblere Version für die folgenden Mods:\n%s\n\n\n\Erwarte nicht, dass der Mods wie erwartet funktioniert!

HEVLIB_CONFIG_RANDOMIZE_MINERALS|Zufälliger Mineral-Seed

HEVLIB_CONFIG_RANDOMIZE_MINERALS_TOOLTIP|Erstellt bei Spielstart immer einen zufälligen Seed für die Mineralien. \n\nWenn deaktiviert, wird ein vorrausbestimmte Liste an Konstanten für die Seeds verwendet.

HEVLIB_UPDATE_CENTER|Mod Update Center

HEVLIB_UPDATE_CENTER_DESC|Die folgenden Mods haben Updates

HEVLIB_UPDATE_ALL|Update alle Mods

HEVLIB_IGNORE_ALL|Ignorier alle Mods

HEVLIB_IGNORE_UPDATE|Update ignorieren

HEVLIB_UPDATE_MOD|Mod updaten

HEVLIB_CONFIRMATION_DIALOGUE_UPDATE_MOD|Den Mod von Version [%s v%s] auf [%s] updaten? \n\nJe nach Größe des Mods kann dies etwas dauern.

HEVLIB_CONFIRMATION_DIALOGUE_IGNORE_MOD_UPDATE|Das Update des Mods von Version [%s] auf [%s] ignorieren? \n\nDiese Entscheidung kann im Mod-Menü zurückgesetzt werden.

HEVLIB_CONFIRMATION_DIALOGUE_UPDATE_MODS|Alle Mods updaten? \n\nJe nach Größe und Anzahl der Mods kann dies etwas dauern.

HEVLIB_CONFIRMATION_DIALOGUE_IGNORE_MODS|Alle Mod-Updates ignorieren? \n\nDiese Entscheidung kann im Mod-Menü zurückgesetzt werden.

HEVLIB_ICON_TOOLTIP_CONFLICT|Dieser Mods steht in Konflikt mit folgenden Mods:%s

HEVLIB_ICON_TOOLTIP_DEPENDANCIES|Diesem Mod fehlen folgende Abhängigkeiten:%s

HEVLIB_ICON_TOOLTIP_COMPLEMENTARY|Dieser Mod ergänzt die folgenden Mods:%s

HEVLIB_ICON_TOOLTIP_UPDATES|Dieser Mod hat ein Update! \nVersion [%s] -> Version [%s]

HEVLIB_MODMENU_UPDATE_NOTIFIER|Es sind Mod-Updates verfügbar. \n\nWillst du das Update-Menü öffnen?

HEVLIB_PLEASE_WAIT|Bitte warte...

HEVLIB_RESTART|Spiel neustarten

HEVLIB_EXIT_INSTEAD|Spiel beenden

HEVLIB_RESTART_BECAUSE_NEW_MODS|Ein Neustart wird benötigt. \n\nAlternativ kann dieses Fenster geschlossen werden, damit du noch vorher speichern kannst.

HEVLIB_WAIT_TO_UPDATE_ALL|Bitte warte... \n\nDownloade Mod %02d von %02d \n%s [%s] Version [%s]

HEVLIB_TITLE_IGNORE_MOD|Mod ignorieren?

HEVLIB_TITLE_UPDATE_MOD|Mod updaten?

HEVLIB_TITLE_IGNORE_MODS|Mods ignorieren?

HEVLIB_TITLE_UPDATE_MODS|Mods updaten?

HEVLIB_DLCLIST_DLC_HEADER|------- DLC ------

HEVLIB_DLCLIST_MODS_HEADER|------ MODS ------

HEVLIB_CONFIG_SHOW_ALWAYS_LIBRARIES_IN_DLCLIST|Bibliotheken mit "Immer zeigen" in der DLC-Liste auflisten

HEVLIB_CONFIG_SHOW_ALWAYS_LIBRARIES_IN_DLCLIST_TOOLTIP|Bibliotheken mit dem 'Immer Zeigen' tag (so wie HevLib) erlauben, in der DLC-Mod-Liste zu erscheinen.

HEVLIB_CONFIG_SHOW_ALL_LIBRARIES_IN_DLCLIST|Alle Bibliotheken auflisten

HEVLIB_CONFIG_SHOW_ALL_LIBRARIES_IN_DLCLIST_TOOLTIP|Alle Bibliotheken in der DLC-Mod-Liste auflisten. Die Liste kann durch Mods mit vielen Sub-Prozessen sehr lang werden.

HEVLIB_CONFIG_DLCLIST_SORT_ORDER|DLC-Mod-Liste Sortierung

HEVLIB_CONFIG_DLCLIST_SORT_ORDER_TOOLTIP|Ob und wie die Liste sortiert werden soll.

HEVLIB_RESEARCH|Forschung

HEVLIB_RESEARCH_CURRENT|Aktuelle Forschung

HEVLIB_CURRENT_PROJECTS|Aktive Forschungsprojekte

HEVLIB_RESEARCH_STATS|Alle Projektstatistiken

HEVLIB_RESEARCH_AVAILABLE|Verfügbare Projekte

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_LEFT|UI links scrollen

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_LEFT_TOOLTIP|Primäre Taste für horizontale Bildlaufmenüs

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_RIGHT|UI rechts scrollen

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_RIGHT_TOOLTIP|Primäre Taste für horizontale Bildlaufmenüs

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_LEFT2|UI links scrollen (alt)

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_LEFT2_TOOLTIP|Alternative Taste für horizontale Bildlaufmenüs

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_RIGHT2|UI rechts scrollen (alt)

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_RIGHT2_TOOLTIP|Alternative Alternative Taste für horizontale Bildlaufmenüs

SYSTEM_HEVLIB_INTERNALS_NODE|Interne System Mod Laufzeit

NOTIFICATION_NAME_PLACEHOLDER|{Benachrichtigungskörper fehlt}

NOTIFICATION_TITLE_PLACEHOLDER|{Benachrichtigungsname fehlt}

HEVLIB_AVAILABLE_RESEARCH|Verfügbare Forschungsprojekte

HEVLIB_RESEARCH_TOTAL_TOOLTIP|Gesammter Forschungsstand für das Projekt

DLC_ANDROID|Android face pack

HEVLIB_CONFIG_LIMIT_NANODRONE_OUTPUT|Limitiere Nanodrohnenlagerarbeitsleistung

HEVLIB_CONFIG_LIMIT_NANODRONE_OUTPUT_TOOLTIP|Verhindert, dass Nanodrohnen mehr als das vom installiertem Medium bereitgestellten Rate nutzen können. \nNotiz: Dies wird nur in speziellen Konfigurationen passieren.

HEVLIB_CONFIG_DISPLAY_CURRENTLY_PLAYING|Zeige aktuelle Spieleranzahl

HEVLIB_CONFIG_DISPLAY_CURRENTLY_PLAYING_TOOLTIP|Zeigt die Anzahl aller Steam-Clienten in der oberen linken Bildschirmecke.\nDieser Zähler unterscheidet zwischen Vollversion und Demo.

HEVLIB_CLEAR_LEADERBOARDS|Leaderboardstatistiken resetten

HEVLIB_CLEAR_LEADERBOARDS_TOOLTIP|Öffnet ein Menü, in welchem man individuelle Statistiken zurücksetzen kann. \n\nNOTIZ: Nur für Steam-Versionen

HEVLIB_OPEN_MENU|Öffne Menü

STEAMSTAT_best_haul|Beste Ausbeute (komplett)

STEAMSTAT_best_ore|Beste Ausbeute (Erz)

STEAMSTAT_longest_dive|Längster Tauchgang (mit Astrogation)

STEAMSTAT_longest_dive_realtime|Längster Tauchgang (Steuerzeit)

STEAMSTAT_money_per_day|Durchschnittliche Einnahmen pro Tag

STEAMSTAT_time|Tage in den Ringen

STEAMSTAT_total_money|Vermögen

STEAMSTAT_CLEAR_STAT|Statistik reinigen

HEVLIB_CONFIRM|Aktion bestätigen

HEVLIB_WIPE_STAT_ARE_YOU_SURE|Bist du dir sicher, dass du %s ausradieren willst?

HEVLIB_NOSTEAM|Dieses Menü funktioniert auf Steam.

HEVLIB_OPT_PROFILES|Einstellungsprofile

HEVLIB_PROFILE_SELECT|Profil wählen

HEVLIB_ADD_PROFILE|Profil hinzufügen

HEVLIB_RENAME_PROFILE|Profil umbenennen

HEVLIB_DELETE_PROFILE|Profil löschen

HEVLIB_PROFILENAME_ADD|Profil hinzufügen

HEVLIB_PROFILENAME_RENAME|Profil umbenennen

HEVLIB_PROFILE_DELETE|Profil löschen

HEVLIB_PROFILE_DELETE_ARE_YOU_SURE|Bist du dir sicher, dass du das Profil löschen willst?

HEVLIB_CHANGELOGS|Änderungsprotokoll

HEVLIB_CHANGELOGS_NEW|Neues Änderungsprotokoll

HEVLIB_CONFIG_MULTIPLE_MINERALS_PER_CHUNK|Multiple Mineralien pro Brocken

HEVLIB_CONFIG_MULTIPLE_MINERALS_PER_CHUNK_TOOLTIP|Verbietet, dass multiple Mineralien sich auf einen Erz-Brocken sammeln. \n\nDank an Za'krin für die ursprüngliche Implementierung. Diese Version adaptiert und verbessert sie.
