locale|uk_UA
HEVLIB_CONFIG_SHOW_ACCURATE_EVENTS_TOOLTIP|Використовується разом з Налагоджувачем даних позиції. Відображає фактичну кількість подій у зоні. Через принцип роботи цього налаштування продуктивність знизиться на значну величину, і це генеруватиме тисячі логів за хвилину.\n\nВИКОРИСТАННЯ ЦЬОГО НАЛАШТУВАННЯ ПОВНІСТЮ НЕ ПІДТРИМУЄТЬСЯ І АНУЛЮЄ ВСІ ЗВІТИ ПРО ПОМИЛКИ! ВАС ПОПЕРЕДИЛИ!

HEVLIB_CONFIG_OPEN_DEBUG_EVENT_MENU|Меню налагодження подій

HEVLIB_CONFIG_OPEN_DEBUG_EVENT_MENU_TOOLTIP|Клавіші, що використовуються для відкриття меню налагодження подій.

HEVLIB_CONFIG_OPEN_DEBUGGER|Перемкнути відображення налагодження

HEVLIB_CONFIG_OPEN_DEBUGGER_TOOLTIP|Перемикає видимість консолі налагодження (--debug-console) без необхідності командного рядка.

HEVLIB_CONFIG_TOGGLE_DEBUG_MENUS|Меню налагодження HevLib

HEVLIB_CONFIG_TOGGLE_DEBUG_MENUS_TOOLTIP|Перемикає видимість налагоджувача вводу та налагоджувача подій, якщо вони увімкнені

HEVLIB_CONFIG_LINEEDIT_PLACEHOLDER|Вставте текст

HEVLIB_CONFIG_SECTION_EQUIPMENT|Обладнання

HEVLIB_CONFIG_SECTION_EVENTS|Події

HEVLIB_CONFIG_SECTION_DRIVERS|Драйвери

HEVLIB_CONFIG_SECTION_DEBUG|Налагодження

HEVLIB_CONFIG_SECTION_INPUT|Прив'язки

HEVLIB_NOTIFICATIONS|Сповіщення модів

HEVLIB_UPDATE_COUNT|%s мод(ів) потребують оновлення!

HEVLIB_DEPENDANCY_COUNT|%s мод(ів) мають відсутні залежності!

HEVLIB_CONFLICT_COUNT|%s мод(ів) конфліктують!

HEVLIB_UPDATE_INFO_HEADER|Цей мод має очікувані оновлення!

HEVLIB_DEPENDANCY_INFO_HEADER|Цей мод має відсутні залежності!

HEVLIB_CONFLICT_INFO_HEADER|Цей мод наразі конфліктує!

HEVLIB_UPDATE_INFO_BODY|Оновити цей мод з версії [%s] до версії [%s]?

HEVLIB_DEPENDANCY_INFO_BODY|Цей мод вимагає наступних модів, які відсутні:\n%s\n\n\n\nНе очікуйте, що цей мод працюватиме як задумано!

HEVLIB_CONFLICT_INFO_BODY|Цей мод конфліктує з іншими встановленими модами. Будь ласка, встановіть сумісну версію наступних модів:\n%s\n\n\n\nНе очікуйте, що цей мод працюватиме як задумано!

HEVLIB_CONFIG_RANDOMIZE_MINERALS|Рандомізувати сід мінералів

HEVLIB_CONFIG_RANDOMIZE_MINERALS_TOOLTIP|Змінює сід (seed) генерації мінералів при кожному запуску гри. \n\nЯкщо вимкнено, використовує заздалегідь визначений масив констант для сідів мінералів

HEVLIB_UPDATE_CENTER|Центр оновлення модів

HEVLIB_UPDATE_CENTER_DESC|Наступні моди мають оновлення

HEVLIB_UPDATE_ALL|Оновити всі моди

HEVLIB_IGNORE_ALL|Ігнорувати всі моди

HEVLIB_IGNORE_UPDATE|Ігнорувати оновлення

HEVLIB_UPDATE_MOD|Оновити мод

HEVLIB_CONFIRMATION_DIALOGUE_UPDATE_MOD|Оновити обраний мод [%s] до версії [%s]? \n\nЦе може зайняти певний час, залежно від розміру мода.

HEVLIB_CONFIRMATION_DIALOGUE_IGNORE_MOD_UPDATE|Ігнорувати оновлення для мода [%s] до версії [%s]? \n\nЦе рішення можна скинути в налаштуваннях меню модів.

HEVLIB_CONFIRMATION_DIALOGUE_UPDATE_MODS|Оновити всі моди, що відображаються в цьому меню? \n\nЦе може зайняти певний час, залежно від кількості та розміру модів.

HEVLIB_CONFIRMATION_DIALOGUE_IGNORE_MODS|Ігнорувати всі оновлення модів, що відображаються в цьому меню? \n\nЦе рішення можна скинути в налаштуваннях меню модів.

HEVLIB_ICON_TOOLTIP_CONFLICT|Цей мод конфліктує з наступними модами:%s

HEVLIB_ICON_TOOLTIP_DEPENDANCIES|Цей мод не має наступних залежностей:%s

HEVLIB_ICON_TOOLTIP_COMPLEMENTARY|Цей мод доповнює наступні моди:%s

HEVLIB_ICON_TOOLTIP_UPDATES|Цей мод має оновлення! \nВерсія [%s] -> Версія [%s]

HEVLIB_MODMENU_UPDATE_NOTIFIER|Є оновлення для ваших модів. \n\nБажаєте відкрити меню оновлень?

HEVLIB_PLEASE_WAIT|Будь ласка, зачекайте...

HEVLIB_RESTART|Перезапустити гру

HEVLIB_EXIT_INSTEAD|Вийти з гри натомість

HEVLIB_RESTART_BECAUSE_NEW_MODS|Гру потрібно перезапустити, щоб застосувати зміни до модів. \n\nАбо ж ви можете закрити гру, або закрити це вікно, щоб продовжити гру та зберегтися.

HEVLIB_WAIT_TO_UPDATE_ALL|Будь ласка, зачекайте... \n\nЗавантаження мода %02d з %02d \n%s [%s] версія [%s]

HEVLIB_TITLE_IGNORE_MOD|Ігнорувати мод?

HEVLIB_TITLE_UPDATE_MOD|Оновити мод?

HEVLIB_TITLE_IGNORE_MODS|Ігнорувати моди?

HEVLIB_TITLE_UPDATE_MODS|Оновити моди?

HEVLIB_DLCLIST_DLC_HEADER|------- DLC ------

HEVLIB_DLCLIST_MODS_HEADER|------ MODS ------

HEVLIB_CONFIG_SHOW_ALWAYS_LIBRARIES_IN_DLCLIST|Показувати бібліотеки "завжди відображати" у списку DLC

HEVLIB_CONFIG_SHOW_ALWAYS_LIBRARIES_IN_DLCLIST_TOOLTIP|Дозволяє бібліотекам з тегом 'always_display' (таким як HevLib) з'являтися в розділі модів списку DLC

HEVLIB_CONFIG_SHOW_ALL_LIBRARIES_IN_DLCLIST|Показувати всі бібліотеки у списку DLC

HEVLIB_CONFIG_SHOW_ALL_LIBRARIES_IN_DLCLIST_TOOLTIP|Дозволяє всім бібліотекам з'являтися в розділі модів списку DLC. Це може зробити список дуже великим через бібліотеки, які мають багато основних файлів модів для підпроцесів.

HEVLIB_CONFIG_DLCLIST_SORT_ORDER|Порядок сортування модів у списку DLC

HEVLIB_CONFIG_DLCLIST_SORT_ORDER_TOOLTIP|Чи потрібно сортувати розділ модів у списку DLC і як саме.

HEVLIB_RESEARCH|Дослідження

HEVLIB_RESEARCH_CURRENT|Поточне дослідження

HEVLIB_CURRENT_PROJECTS|Активні проекти досліджень

HEVLIB_RESEARCH_STATS|Статистика всіх проектів

HEVLIB_RESEARCH_AVAILABLE|Доступні проекти

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_LEFT|Прокрутка інтерфейсу вліво

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_LEFT_TOOLTIP|Основний ввід прокрутки вліво для меню з лише горизонтальною прокруткою

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_RIGHT|Прокрутка інтерфейсу вправо

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_RIGHT_TOOLTIP|Основний ввід прокрутки вправо для меню з лише горизонтальною прокруткою

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_LEFT2|Прокрутка інтерфейсу вліво (альт)

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_LEFT2_TOOLTIP|Альтернативний ввід прокрутки вліво для меню з лише горизонтальною прокруткою

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_RIGHT2|Прокрутка інтерфейсу вправо (альт)

HEVLIB_CONFIG_TOGGLE_UI_SCROLL_RIGHT2_TOOLTIP|Альтернативний ввід прокрутки вправо для меню з лише горизонтальною прокруткою

SYSTEM_HEVLIB_INTERNALS_NODE|Мод обробки внутрішніх систем

NOTIFICATION_NAME_PLACEHOLDER|{Тіло сповіщення відсутнє}

NOTIFICATION_TITLE_PLACEHOLDER|{Назва сповіщення відсутня}

HEVLIB_AVAILABLE_RESEARCH|Доступні проекти досліджень

HEVLIB_RESEARCH_TOTAL_TOOLTIP|Загальний прогрес у цьому проекті

DLC_ANDROID|Пакет облич андроїдів

HEVLIB_CONFIG_LIMIT_NANODRONE_OUTPUT|Обмежити вихід нанодронів

HEVLIB_CONFIG_LIMIT_NANODRONE_OUTPUT_TOOLTIP|Запобігає використанню нанодронів, якщо швидкість споживання перевищує швидкість встановленого сховища. \nПримітка: це, ймовірно, ніколи не буде досягнуто, крім дуже специфічних конфігурацій.

HEVLIB_CONFIG_DISPLAY_CURRENTLY_PLAYING|Відображати кількість гравців

HEVLIB_CONFIG_DISPLAY_CURRENTLY_PLAYING_TOOLTIP|Чи відображати кількість одночасних гравців на клієнтах Steam.\nЗауважте, що цифри для повної гри та демо-версії розділені.

HEVLIB_CLEAR_LEADERBOARDS|Очистити статистику таблиці лідерів

HEVLIB_CLEAR_LEADERBOARDS_TOOLTIP|Відкриває меню, яке дозволяє скинути окремі статистики таблиці лідерів.\n\nПРИМІТКА: Тільки для релізів Steam

HEVLIB_OPEN_MENU|Відкрити меню

STEAMSTAT_best_haul|Найкращий улов (повний)

STEAMSTAT_best_ore|Найкращий улов (руда)

STEAMSTAT_longest_dive|Найдовше занурення (включаючи астрогацію)

STEAMSTAT_longest_dive_realtime|Найдовше занурення (час пілотування)

STEAMSTAT_money_per_day|Середній дохід за день

STEAMSTAT_time|Дні роботи в кільцях

STEAMSTAT_total_money|Багатство

STEAMSTAT_CLEAR_STAT|Очистити статистику

HEVLIB_CONFIRM|Підтвердити дію

HEVLIB_WIPE_STAT_ARE_YOU_SURE|Ви впевнені, що хочете очистити статистику %s?

HEVLIB_NOSTEAM|Це меню працює тільки на збірках Steam.
